,1/2/2022,2/2/2022,3/2/2022,4/2/2022,5/2/2022,6/2/2022,7/2/2022,8/2/2022,9/2/2022,10/2/2022,11/2/2022,12/2/2022,13/2/2022,14/2/2022,15/2/2022,16/2/2022,17/2/2022,18/2/2022,19/2/2022,20/2/2022,21/2/2022,22/2/2022,23/2/2022,24/2/2022,25/2/2022,26/2/2022,27/2/2022,28/2/2022
Clari,0,0,0,0,3,1,24,2,25,32,6,2,3,74,84,16,12,2,8,20,22,16,22,25,36,24,4,27
Delfi,22,23,18,8,30,28,21,66,46,15,3,6,30,36,44,2,9,0,3,12,15,33,14,11,43,42,4,15
Maiu,0,0,0,0,0,0,0,20,0,0,0,0,0,19,17,0,0,0,1,0,0,7,0,3,0,0,0,2
Michu,7,14,45,18,33,19,82,150,50,19,5,5,9,86,80,21,12,0,14,32,13,11,41,4,8,84,9,23
Pali,27,4,34,17,21,2,109,67,56,23,9,2,14,25,31,22,7,0,13,0,0,0,0,0,67,0,0,0
Pau,13,16,65,11,16,4,49,26,36,25,9,12,12,21,18,0,0,0,0,15,16,23,11,31,38,13,9,23
Sofi,35,11,18,20,40,54,98,201,53,51,12,27,14,153,83,7,45,7,0,48,12,14,26,24,47,69,7,60
Sol,7,9,7,3,15,6,11,23,22,13,0,6,0,22,22,1,7,5,0,1,2,7,6,3,2,0,8,8
Taty,6,12,4,9,4,17,35,59,13,32,16,5,8,17,11,4,32,0,4,3,7,3,7,24,10,29,11,20
Valen,0,22,9,1,0,24,1,7,0,19,20,4,0,9,6,14,0,0,0,6,16,44,39,7,0,0,0,26